==23589== NVPROF is profiling process 23589, command: ./bin/fargoGPU in/hd100.par
==23589== Profiling application: ./bin/fargoGPU in/hd100.par
==23589== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput           Device   Context    Stream  Name
299.48ms  2.0800us                    -               -         -         -         -  4.0000KB  1.8340GB/s  Quadro M4000 (0         1         7  [CUDA memcpy HtoD]
299.50ms  1.7600us                    -               -         -         -         -  4.0000KB  2.1674GB/s  Quadro M4000 (0         1         7  [CUDA memcpy HtoD]
299.51ms  1.7920us                    -               -         -         -         -  4.0000KB  2.1287GB/s  Quadro M4000 (0         1         7  [CUDA memcpy HtoD]
299.65ms  2.4640us                    -               -         -         -         -  8.0000KB  3.0963GB/s  Quadro M4000 (0         1         7  [CUDA memcpy HtoD]
299.66ms  2.4960us                    -               -         -         -         -  8.0000KB  3.0566GB/s  Quadro M4000 (0         1         7  [CUDA memcpy HtoD]
309.64ms  100.90us                    -               -         -         -         -  8.0078MB  77.508GB/s  Quadro M4000 (0         1         7  [CUDA memset]
309.75ms  97.887us                    -               -         -         -         -  8.0078MB  79.889GB/s  Quadro M4000 (0         1         7  [CUDA memset]
311.53ms  98.047us                    -               -         -         -         -  8.0000MB  79.681GB/s  Quadro M4000 (0         1         7  [CUDA memset]
311.63ms  97.758us                    -               -         -         -         -  8.0000MB  79.917GB/s  Quadro M4000 (0         1         7  [CUDA memset]
311.66ms     589ns                    -               -         -         -         -  4.0039KB  6.4829GB/s  Quadro M4000 (0         1         7  [CUDA memset]
311.67ms     367ns                    -               -         -         -         -  4.0039KB  10.404GB/s  Quadro M4000 (0         1         7  [CUDA memset]
311.67ms     738ns                    -               -         -         -         -  4.0039KB  5.1740GB/s  Quadro M4000 (0         1         7  [CUDA memset]
311.68ms     489ns                    -               -         -         -         -  4.0039KB  7.8086GB/s  Quadro M4000 (0         1         7  [CUDA memset]
311.68ms     374ns                    -               -         -         -         -  4.0039KB  10.210GB/s  Quadro M4000 (0         1         7  [CUDA memset]
311.69ms     359ns                    -               -         -         -         -  4.0039KB  10.636GB/s  Quadro M4000 (0         1         7  [CUDA memset]
311.69ms     359ns                    -               -         -         -         -  4.0039KB  10.636GB/s  Quadro M4000 (0         1         7  [CUDA memset]
311.69ms     369ns                    -               -         -         -         -  4.0039KB  10.348GB/s  Quadro M4000 (0         1         7  [CUDA memset]
311.70ms     365ns                    -               -         -         -         -  4.0039KB  10.461GB/s  Quadro M4000 (0         1         7  [CUDA memset]
311.70ms     426ns                    -               -         -         -         -  4.0039KB  8.9634GB/s  Quadro M4000 (0         1         7  [CUDA memset]
311.71ms     570ns                    -               -         -         -         -  4.0039KB  6.6990GB/s  Quadro M4000 (0         1         7  [CUDA memset]
311.73ms  97.791us                    -               -         -         -         -  8.0000MB  79.890GB/s  Quadro M4000 (0         1         7  [CUDA memset]
311.76ms     756ns                    -               -         -         -         -  4.0039KB  5.0508GB/s  Quadro M4000 (0         1         7  [CUDA memset]
311.76ms     480ns                    -               -         -         -         -  4.0039KB  7.9550GB/s  Quadro M4000 (0         1         7  [CUDA memset]
311.76ms     431ns                    -               -         -         -         -  4.0039KB  8.8594GB/s  Quadro M4000 (0         1         7  [CUDA memset]
311.77ms     402ns                    -               -         -         -         -  4.0039KB  9.4986GB/s  Quadro M4000 (0         1         7  [CUDA memset]
311.80ms     429ns                    -               -         -         -         -  8.0000KB  17.784GB/s  Quadro M4000 (0         1         7  [CUDA memset]
311.80ms     397ns                    -               -         -         -         -  8.0000KB  19.218GB/s  Quadro M4000 (0         1         7  [CUDA memset]
311.81ms  2.6100us                    -               -         -         -         -  8.0000KB  2.9231GB/s  Quadro M4000 (0         1         7  [CUDA memset]
311.81ms     413ns                    -               -         -         -         -  8.0000KB  18.473GB/s  Quadro M4000 (0         1         7  [CUDA memset]
311.83ms  97.790us                    -               -         -         -         -  8.0000MB  79.891GB/s  Quadro M4000 (0         1         7  [CUDA memset]
311.84ms     929ns                    -               -         -         -         -  8.0000KB  8.2125GB/s  Quadro M4000 (0         1         7  [CUDA memset]
311.85ms     370ns                    -               -         -         -         -  8.0000KB  20.620GB/s  Quadro M4000 (0         1         7  [CUDA memset]
311.85ms     376ns                    -               -         -         -         -  8.0000KB  20.291GB/s  Quadro M4000 (0         1         7  [CUDA memset]
